Category: All categories

Month,bitcoin price: (United States)
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,2
2015-12,1
2016-01,2
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,3
2016-07,2
2016-08,1
2016-09,1
2016-10,1
2016-11,2
2016-12,2
2017-01,4
2017-02,3
2017-03,4
2017-04,3
2017-05,10
2017-06,10
2017-07,7
2017-08,14
2017-09,14
2017-10,15
2017-11,37
2017-12,100
2018-01,55
2018-02,47
2018-03,25
2018-04,21
2018-05,16
2018-06,15
2018-07,13
2018-08,12
2018-09,10
2018-10,7
2018-11,11
2018-12,13
2019-01,7
2019-02,7
2019-03,6
2019-04,10
2019-05,15
2019-06,18
2019-07,17
2019-08,12
2019-09,9
2019-10,9
2019-11,8
2019-12,7
2020-01,8
2020-02,10
2020-03,15
2020-04,9
2020-05,12
2020-06,8
2020-07,8
2020-08,11
2020-09,7
2020-10,8
2020-11,18
2020-12,28
2021-01,59
2021-02,61
2021-03,44
2021-04,44
2021-05,57
2021-06,40
2021-07,27
2021-08,28
2021-09,26
2021-10,32
2021-11,30
2021-12,32
2022-01,39
2022-02,32
2022-03,25
2022-04,17
2022-05,36
2022-06,47
2022-07,29
2022-08,20
2022-09,20
2022-10,15
2022-11,26
2022-12,17
2023-01,17
2023-02,16
2023-03,21
2023-04,19
2023-05,15
2023-06,16
2023-07,15
2023-08,13
2023-09,11
2023-10,15
2023-11,18
2023-12,22
2024-01,24
2024-02,23
2024-03,39
2024-04,27
2024-05,20
2024-06,18
2024-07,20
2024-08,22
2024-09,17
2024-10,16
2024-11,47
2024-12,42
2025-01,34
2025-02,28
2025-03,31
